Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
2021-04-23;Paraguay;263134;5715;215702;2.17;81.97;15.85

2021-04-23;Qatar;200778;413;178461;0.21;88.88;10.91

2021-04-23;Réunion;19343;141;17653;0.73;91.26;8.01

2021-04-23;Roumanie;1042521;27113;963840;2.60;92.45;4.95

2021-04-23;Serbie;675904;6164;0;0.91;0.00;99.09

2021-04-23;Russie;4691290;105718;4321477;2.25;92.12;5.63

2021-04-23;Rwanda;24459;328;22696;1.34;92.79;5.87

2021-04-23;Arabie Saoudite;410191;6878;393671;1.68;95.97;2.35

2021-04-23;Îles Salomon;20;0;18;0.00;90.00;10.00

2021-04-23;Seychelles;5206;26;4675;0.50;89.80;9.70

2021-04-23;Soudan;33673;2300;26411;6.83;78.43;14.74

2021-04-23;Suède;938343;13923;0;1.48;0.00;98.52

2021-04-23;Singapour;60943;30;60613;0.05;99.46;0.49

2021-04-23;Slovénie;235711;4195;220505;1.78;93.55;4.67

2021-04-23;Slovaquie;378635;11405;255300;3.01;67.43;29.56

2021-04-23;Sierra Leone;4044;79;2914;1.95;72.06;25.99

2021-04-23;Saint-Marin;5047;89;4839;1.76;95.88;2.36

2021-04-23;Sénégal;40022;1097;38786;2.74;96.91;0.35

2021-04-23;Somalie;13459;689;5593;5.12;41.56;53.32

2021-04-23;Suriname;9932;193;9002;1.94;90.64;7.42

2021-04-23;Soudan du sud;10515;114;10250;1.08;97.48;1.44

2021-04-23;Sao Tomé-et-Principe;2292;35;2227;1.53;97.16;1.31

2021-04-23;El Salvador;68318;2093;64340;3.06;94.18;2.76

2021-04-23;Syrie;21864;1510;15551;6.91;71.13;21.97

2021-04-23;Eswatini;18434;671;17730;3.64;96.18;0.18

2021-04-23;Tchad;4747;169;4382;3.56;92.31;4.13

2021-04-23;Togo;12742;121;10614;0.95;83.30;15.75

2021-04-23;Thaïlande;50183;121;26873;0.24;53.55;46.21

2021-04-23;Tadjikistan;13308;90;13218;0.68;99.32;0.00

2021-04-23;Timor-Leste;1657;3;795;0.18;47.98;51.84

2021-04-23;Tunisie;296343;10170;246001;3.43;83.01;13.56

2021-04-23;Turquie;4550820;37672;3970111;0.83;87.24;11.93

2021-04-23;Trinité-et-Tobago;9383;157;8065;1.67;85.95;12.37

2021-04-23;Taïwan;1090;11;1044;1.01;95.78;3.21

2021-04-23;Tanzanie;509;21;183;4.13;35.95;59.92

2021-04-23;Ukraine;2058301;43483;1602004;2.11;77.83;20.06

2021-04-23;Ouganda;41575;341;40898;0.82;98.37;0.81

2021-04-23;États-Unis;31991750;571197;0;1.79;0.00;98.21

2021-04-23;Uruguay;179537;2227;148561;1.24;82.75;16.01

2021-04-23;Ouzbékistan;88280;641;85232;0.73;96.55;2.73

2021-04-23;Vatican;27;0;15;0.00;55.56;44.44

2021-04-23;St-Vincent / Grenadines;1827;10;1703;0.55;93.21;6.24

2021-04-23;Venezuela;189381;2009;172035;1.06;90.84;8.10

2021-04-23;Viet Nam;2830;35;2490;1.24;87.99;10.78

2021-04-23;Vanuatu;4;1;3;25.00;75.00;0.00

2021-04-23;Samoa;3;0;2;0.00;66.67;33.33

2021-04-23;Kosovo;102720;2115;89432;2.06;87.06;10.88

2021-04-23;Yémen;6056;1165;2454;19.24;40.52;40.24

2021-04-23;Mayotte;19849;169;2964;0.85;14.93;84.22

2021-04-23;Afrique du Sud;1572985;54066;1499110;3.44;95.30;1.26

2021-04-23;Zambie;91251;1245;89256;1.36;97.81;0.82

2021-04-23;Zimbabwe;38045;1556;35094;4.09;92.24;3.67

2021-04-23;Autres;721;15;706;2.08;97.92;0.00

2021-04-22;Autres;721;15;706;2.08;97.92;0.00

2021-04-22;Zimbabwe;38018;1555;35073;4.09;92.25;3.66

2021-04-22;Zambie;91189;1240;89117;1.36;97.73;0.91

2021-04-22;Afrique du Sud;1571348;53995;1496756;3.44;95.25;1.31

2021-04-22;Mayotte;19849;169;2964;0.85;14.93;84.22

2021-04-22;Yémen;6020;1157;2393;19.22;39.75;41.03

2021-04-22;Kosovo;102720;2115;89432;2.06;87.06;10.88

2021-04-22;Samoa;3;0;2;0.00;66.67;33.33

2021-04-22;Vanuatu;4;1;1;25.00;25.00;50.00

2021-04-22;Viet Nam;2824;35;2490;1.24;88.17;10.59

2021-04-22;Venezuela;188063;1987;171043;1.06;90.95;7.99

2021-04-22;St-Vincent / Grenadines;1827;10;1703;0.55;93.21;6.24

2021-04-22;Vatican;27;0;15;0.00;55.56;44.44

2021-04-22;Ouzbékistan;87935;640;85007;0.73;96.67;2.60

2021-04-22;Uruguay;175891;2160;145464;1.23;82.70;16.07

2021-04-22;États-Unis;31929351;570345;0;1.79;0.00;98.21

2021-04-22;Ouganda;41529;341;40898;0.82;98.48;0.70

2021-04-22;Ukraine;2043901;43041;1582924;2.11;77.45;20.45

2021-04-22;Tanzanie;509;21;183;4.13;35.95;59.92

2021-04-22;Taïwan;1086;11;1041;1.01;95.86;3.13

2021-04-22;Trinité-et-Tobago;9383;157;8065;1.67;85.95;12.37

2021-04-22;Turquie;4501382;37329;3909935;0.83;86.86;12.31

2021-04-22;Tunisie;294138;10063;244517;3.42;83.13;13.45

2021-04-22;Timor-Leste;1657;3;795;0.18;47.98;51.84

2021-04-22;Tadjikistan;13308;90;13218;0.68;99.32;0.00

2021-04-22;Thaïlande;48113;117;26873;0.24;55.85;43.90

2021-04-22;Togo;12698;121;10512;0.95;82.78;16.26

2021-04-22;Tchad;4735;169;4376;3.57;92.42;4.01

2021-04-22;Eswatini;18426;671;17722;3.64;96.18;0.18

2021-04-22;Syrie;21725;1496;15376;6.89;70.78;22.34

2021-04-22;El Salvador;68161;2089;64208;3.06;94.20;2.73

2021-04-22;Sao Tomé-et-Principe;2292;35;2227;1.53;97.16;1.31

2021-04-22;Soudan du sud;10504;114;10250;1.09;97.58;1.33

2021-04-22;Suriname;9865;191;8965;1.94;90.88;7.19

2021-04-22;Somalie;13459;689;5593;5.12;41.56;53.32

2021-04-22;Sénégal;39975;1097;38719;2.74;96.86;0.40

2021-04-22;Saint-Marin;5045;88;4822;1.74;95.58;2.68

2021-04-22;Sierra Leone;4044;79;2914;1.95;72.06;25.99

2021-04-22;Slovaquie;378150;11357;255300;3.00;67.51;29.48

2021-04-22;Slovénie;234811;4187;219232;1.78;93.37;4.85

2021-04-22;Singapour;60904;30;60603;0.05;99.51;0.44

2021-04-22;Suède;932076;13882;0;1.49;0.00;98.51

2021-04-22;Soudan;33599;2300;26411;6.85;78.61;14.55

2021-04-22;Seychelles;5170;26;4675;0.50;90.43;9.07

2021-04-22;Îles Salomon;20;0;18;0.00;90.00;10.00

2021-04-22;Arabie Saoudite;409093;6869;392448;1.68;95.93;2.39

2021-04-22;Rwanda;24262;328;22649;1.35;93.35;5.30

2021-04-22;Russie;4682573;105328;4312186;2.25;92.09;5.66

2021-04-22;Serbie;673520;6130;0;0.91;0.00;99.09

2021-04-22;Roumanie;1039998;26943;959126;2.59;92.22;5.19

2021-04-22;Réunion;19343;141;17653;0.73;91.26;8.01

2021-04-22;Qatar;199980;407;177164;0.20;88.59;11.21

2021-04-22;Paraguay;260382;5633;213710;2.16;82.08;15.76

2021-04-22;Portugal;832891;16956;791171;2.04;94.99;2.97

2021-04-22;Palestine;287680;3115;256559;1.08;89.18;9.74

2021-04-22;Pologne;2731256;64168;2380787;2.35;87.17;10.48

2021-04-22;Pakistan;784108;16842;682290;2.15;87.01;10.84

2021-04-22;Philippines;971049;16370;846691;1.69;87.19;11.12

2021-04-22;Papouasie-Nouvelle-Guinée;10338;99;7364;0.96;71.23;27.81

2021-04-22;Polynésie Française;18725;141;4842;0.75;25.86;73.39

2021-04-22;Pérou;1734606;58604;1653411;3.38;95.32;1.30

2021-04-22;Panama;361992;6198;351949;1.71;97.23;1.06

2021-04-22;Oman;185278;1942;165051;1.05;89.08;9.87

2021-04-22;Nouvelle-Zélande;2600;26;2542;1.00;97.77;1.23

2021-04-22;Népal;292152;3117;276345;1.07;94.59;4.34

